Season,Tm,Champion,Finals,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,STLperG,BLKperG,PTSperG
1998-99,DEN,0,0,NBA,50,14,36,0.28,12025,1681,3989,1379,3067,302,922,1010,1325,647,1392,2039,969,376,275,739,1145,4674,0.421408874,0.327548807,0.762264151,7.52,5.5,93.48
1999-00,DEN,0,0,NBA,82,35,47,0.427,19855,3057,6911,2587,5514,470,1397,1531,2116,1073,2590,3663,1911,554,618,1281,1962,8115,0.442338301,0.336435218,0.723534972,6.756097561,7.536585366,98.96341463
2000-01,DEN,0,0,NBA,82,40,42,0.488,19780,2979,6877,2467,5433,512,1444,1448,1964,1044,2583,3627,1970,552,538,1136,1820,7918,0.433183074,0.354570637,0.737270876,6.731707317,6.56097561,96.56097561
2001-02,DEN,0,0,NBA,82,27,55,0.329,19805,2915,6870,2492,5585,423,1285,1306,1756,1117,2310,3427,1817,613,462,1205,1873,7559,0.424308588,0.329182879,0.743735763,7.475609756,5.634146341,92.18292683
2002-03,DEN,0,0,NBA,82,17,65,0.207,19730,2689,6544,2460,5720,229,824,1294,1850,1112,2363,3475,1737,712,422,1514,2056,6901,0.410910758,0.277912621,0.699459459,8.682926829,5.146341463,84.15853659
2003-04,DEN,0,0,NBA,82,43,39,0.524,19730,2993,6763,2662,5778,331,985,1655,2159,1083,2387,3470,1794,745,520,1278,1804,7972,0.442555079,0.336040609,0.766558592,9.085365854,6.341463415,97.2195122
2004-05,DEN,0,0,NBA,82,49,33,0.598,19755,3038,6615,2718,5675,320,940,1765,2313,967,2473,3440,1958,750,489,1224,1878,8161,0.459259259,0.340425532,0.763078253,9.146341463,5.963414634,99.52439024
2005-06,DEN,0,0,NBA,82,44,38,0.537,19930,3078,6672,2728,5596,350,1076,1721,2312,903,2486,3389,1921,698,463,1216,1863,8227,0.461330935,0.32527881,0.744377163,8.512195122,5.646341463,100.3292683
2006-07,DEN,0,0,NBA,82,45,37,0.549,19780,3164,6805,2680,5365,484,1440,1827,2449,1001,2558,3559,1920,678,435,1352,1756,8639,0.464952241,0.336111111,0.746018783,8.268292683,5.304878049,105.3536585
2007-08,DEN,0,0,NBA,82,50,32,0.61,19855,3307,7038,2738,5433,569,1605,1891,2519,918,2698,3616,2024,752,551,1203,1731,9074,0.469877806,0.354517134,0.75069472,9.170731707,6.719512195,110.6585366
